left slab,right slab,layer thickness,Sigma_a_left,Sigma_s_left,Sigma_T_left,Sigma_a_right,Sigma_s_right,Sigma_T_right,T mean,T std
Lead,Lead,2,0.005212116324762548,0.37015922329215534,0.3753713396169179,0.005212116324762548,0.37015922329215534,0.3753713396169179,0.5352222222222222,0.007784124394727544
Lead,Graphite,2,0.005212116324762548,0.37015922329215534,0.3753713396169179,0.0003767911731862459,0.39688670242284574,0.39726349359603197,0.5404444444444444,0.005102650001424474
Graphite,Lead,2,0.0003767911731862459,0.39688670242284574,0.39726349359603197,0.005212116324762548,0.37015922329215534,0.3753713396169179,0.5403333333333333,0.00835330939076114
Graphite,Graphite,2,0.0003767911731862459,0.39688670242284574,0.39726349359603197,0.0003767911731862459,0.39688670242284574,0.39726349359603197,0.547,0.009165151389911688
Lead,Lead,5,0.005212116324762548,0.37015922329215534,0.3753713396169179,0.005212116324762548,0.37015922329215534,0.3753713396169179,0.2747777777777778,0.0038490017945975296
Lead,Graphite,5,0.005212116324762548,0.37015922329215534,0.3753713396169179,0.0003767911731862459,0.39688670242284574,0.39726349359603197,0.292,0.013613718571108081
Graphite,Lead,5,0.0003767911731862459,0.39688670242284574,0.39726349359603197,0.005212116324762548,0.37015922329215534,0.3753713396169179,0.29200000000000004,0.006429100507328643
Graphite,Graphite,5,0.0003767911731862459,0.39688670242284574,0.39726349359603197,0.0003767911731862459,0.39688670242284574,0.39726349359603197,0.30544444444444446,0.0052103884834192584
Lead,Lead,8,0.005212116324762548,0.37015922329215534,0.3753713396169179,0.005212116324762548,0.37015922329215534,0.3753713396169179,0.1661111111111111,0.0060030856263289245
Lead,Graphite,8,0.005212116324762548,0.37015922329215534,0.3753713396169179,0.0003767911731862459,0.39688670242284574,0.39726349359603197,0.18811111111111112,0.008368813358955797
Graphite,Lead,8,0.0003767911731862459,0.39688670242284574,0.39726349359603197,0.005212116324762548,0.37015922329215534,0.3753713396169179,0.18533333333333335,0.006064468466220082
Graphite,Graphite,8,0.0003767911731862459,0.39688670242284574,0.39726349359603197,0.0003767911731862459,0.39688670242284574,0.39726349359603197,0.20666666666666667,0.004358898943540678
Lead,Lead,10,0.005212116324762548,0.37015922329215534,0.3753713396169179,0.005212116324762548,0.37015922329215534,0.3753713396169179,0.11933333333333333,0.0050000000000000044
Lead,Graphite,10,0.005212116324762548,0.37015922329215534,0.3753713396169179,0.0003767911731862459,0.39688670242284574,0.39726349359603197,0.136,0.0036666666666666653
Graphite,Lead,10,0.0003767911731862459,0.39688670242284574,0.39726349359603197,0.005212116324762548,0.37015922329215534,0.3753713396169179,0.14588888888888887,0.009765775461803863
Graphite,Graphite,10,0.0003767911731862459,0.39688670242284574,0.39726349359603197,0.0003767911731862459,0.39688670242284574,0.39726349359603197,0.17544444444444443,0.007190528749939307
Lead,Lead,12,0.005212116324762548,0.37015922329215534,0.3753713396169179,0.005212116324762548,0.37015922329215534,0.3753713396169179,0.08255555555555556,0.0048227854253801595
Lead,Graphite,12,0.005212116324762548,0.37015922329215534,0.3753713396169179,0.0003767911731862459,0.39688670242284574,0.39726349359603197,0.11811111111111111,0.003671713698190736
Graphite,Lead,12,0.0003767911731862459,0.39688670242284574,0.39726349359603197,0.005212116324762548,0.37015922329215534,0.3753713396169179,0.10344444444444444,0.0018954135676924415
Graphite,Graphite,12,0.0003767911731862459,0.39688670242284574,0.39726349359603197,0.0003767911731862459,0.39688670242284574,0.39726349359603197,0.1461111111111111,0.013929717765878709
Lead,Lead,15,0.005212116324762548,0.37015922329215534,0.3753713396169179,0.005212116324762548,0.37015922329215534,0.3753713396169179,0.056999999999999995,0.0025166114784235852
Lead,Graphite,15,0.005212116324762548,0.37015922329215534,0.3753713396169179,0.0003767911731862459,0.39688670242284574,0.39726349359603197,0.0828888888888889,0.001170628194761419
Graphite,Lead,15,0.0003767911731862459,0.39688670242284574,0.39726349359603197,0.005212116324762548,0.37015922329215534,0.3753713396169179,0.07733333333333332,0.005999999999999998
Graphite,Graphite,15,0.0003767911731862459,0.39688670242284574,0.39726349359603197,0.0003767911731862459,0.39688670242284574,0.39726349359603197,0.11611111111111111,0.001018350154434631
