material,L / cm,N per repeat,number of repeats,A mean,A std,R mean,R std,T mean,T std,mean A + R + T
Water,1,10000,10,0.04517,0.0019966917082458614,0.63195,0.005581566884745615,0.32287999999999994,0.006533809506456907,1.0
Water,2,10000,10,0.09107000000000001,0.0031069992668883036,0.7441800000000001,0.0036020981540084655,0.16475,0.0027023652191696407,1.0
Water,3,10000,10,0.12772,0.004141872898956594,0.7758200000000001,0.0047055050502339945,0.09645999999999999,0.002153653227012702,1.0
Water,4,10000,10,0.15288,0.0028778078076511274,0.78864,0.004244787653372324,0.05848,0.003150238086240465,1.0
Water,5,10000,10,0.17335,0.004211953888108883,0.7907299999999999,0.0037199313016356636,0.035919999999999994,0.0017177504669382774,1.0
Water,6,10000,10,0.18370999999999998,0.003498396458061574,0.79589,0.003227813157197571,0.020399999999999998,0.0009006170724070866,1.0
Water,7,10000,10,0.19179,0.0049289282134489755,0.79464,0.0046411684352589975,0.013569999999999999,0.0010562512327408982,1.0
Water,10,10000,10,0.20133,0.003084026949010374,0.7956999999999999,0.003068839809729025,0.00297,0.0004989989979949859,1.0
Water,15,10000,10,0.20493999999999998,0.0034270816869296974,0.7947,0.0032994949108411517,0.00035999999999999997,0.00020655911179772888,1.0
Lead,1,10000,10,0.00683,0.0007645623294117722,0.15722000000000003,0.0038412382262899415,0.8359500000000001,0.003563472089596497,1.0
Lead,2,10000,10,0.015210000000000001,0.001384397181287059,0.27174,0.004212732024602446,0.71305,0.00355254212579605,1.0
Lead,3,10000,10,0.025519999999999998,0.001615755757120075,0.35833,0.005168075076854053,0.61615,0.004802834811048813,1.0
Lead,4,10000,10,0.03654999999999999,0.002051693067796555,0.4237,0.0041185218491859715,0.53975,0.0042132726788883185,1.0
Lead,5,10000,10,0.046959999999999995,0.002306127104524427,0.4755,0.00555777733351102,0.47754,0.004682164741512907,1.0
Lead,6,10000,10,0.05854,0.002876417524939275,0.5184,0.0037407664098862716,0.4230600000000001,0.0037375571344573986,1.0
Lead,7,10000,10,0.06867,0.0019488173051594375,0.5519000000000001,0.004066120181860498,0.37943,0.004177466004915209,1.0
Lead,10,10000,10,0.10185,0.002772984753734581,0.6160599999999999,0.007219141223164985,0.28209,0.00666290727335548,1.0
Lead,15,10000,10,0.14740999999999999,0.004577833063312334,0.67323,0.0032883802159185426,0.17936000000000002,0.003095588258581342,1.0
Graphite,1,10000,10,0.0006,0.0001699673171197595,0.16691,0.0034037397733147046,0.83249,0.0034607160466521335,1.0
Graphite,2,10000,10,0.00114,0.00023190036174568112,0.28920999999999997,0.0034818417859262614,0.70965,0.0035855419550063967,1.0
Graphite,3,10000,10,0.00172,0.00033266599866332397,0.3833,0.004846992194478275,0.6149800000000001,0.004888262586145624,1.0
Graphite,4,10000,10,0.0031599999999999996,0.0006467010300148146,0.45583,0.005235572769260505,0.5410100000000001,0.005772242006168642,1.0
Graphite,5,10000,10,0.0032600000000000003,0.0004765617600176405,0.51227,0.00547216187219965,0.48446999999999996,0.00560893136979863,1.0
Graphite,6,10000,10,0.004390000000000001,0.0006806043066438989,0.56098,0.006395623503615591,0.43462999999999996,0.005877650702260029,1.0
Graphite,7,10000,10,0.005019999999999999,0.0006178816859057871,0.6003999999999999,0.004896937818678099,0.39458,0.004449669151246596,1.0
Graphite,10,10000,10,0.00735,0.0007059272861515787,0.6855399999999999,0.004860315490445709,0.30711,0.005007871581598091,1.0
Graphite,15,10000,10,0.012759999999999999,0.0008959166627910582,0.7660499999999999,0.00346129391348894,0.22119,0.0035722541902837752,1.0
